,Tweet,Affect Dimension,Unnamed: 2
978,I get embarrassed at the slightest things and then I'll fret about it all day I hate it,anger,
979,@mofspades or maybe he's like my dad and no hair grows on his body... (I will always resent my mother's genes for taking this from me) angry face ,anger,
980,Professor: introduce yourselves and say one interesting fact\n\nHi I'm Ethan and the Sun will engulf our planet in a fiery explosion one day angry face ,anger,
981,@EliTheProphet_ @ChrisMellini this is an automatic L for me but ima keep trying fam #thewengerway,anger,
982,"#TheWordOfGOD #taught, #preached #correctly will #ComfortTheAfflicted &amp; #AfflictTheComfortable; it will #offend &amp; #TellTheTruth #AboutSin! angry face ",anger,
983,@Plasma_Assassin @ArmouredDove @BallsOnY0u N-no. Because of your wrath.,anger,
984,@marthalyssa yep. LOL,anger,
985,ya girl is #bitter,anger,
986,"@tamriiel I was talking about further in the expansion, with more gear - fury always does well towards the end angry face ",anger,
987,@talkRobyn oh dear I have to watch this the woman with the pout did well,anger,
988,"Nurse practitioner: 'you look pretty bad. No offense of course.' \n\nThank you, that really added that spark of positivity I needed today.",anger,
989,Sting is just too damn earnest for early morning listening. #sting angry face ,anger,
990,@luxbet Did you even give out any pizzas ? Serious fail #hungry #furious #hangry angry face ,anger,
991,Hell hath no fury like a sound technician scorned'\n\nThat's the quote right,anger,
992,@inthefade going back to blissful ignorance?!,anger,
993,He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus. pouting face ,anger,
994,Nick said he's territorial and he'll growl if someone gets too close to me #hesananimal pouting face ,anger,
995,When you forget to mention you were bought dreamboys tickets Ã°Å¸â„¢â€žÃ°Å¸Ëœâ€š #raging,anger,
996,Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha,anger,
997,These NA kids are relentless face with steam from nose ,anger,
998,"What u do wen ur love cheats on u ? Wen thy don't understand the emotions behind the anger, the constant waiting.. what u do ? @ritujai18874",anger,
999,"@ChrisWarcraft species cf. Don Jr. refugees/Skittles.know he likes his snacks,but even @gop frown on talking about eating humans #lizardscum",anger,
1000,@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone,anger,
1001,Take public opinion on revenge with Pakistan if govt is unable to decide. @aajtak @TimesNow @narendramodi pouting face ,anger,
1002,#IndiaMissingIndira that she could never solve Kashmir Problem and kept it burning for Vote Bank\n#TerrorStatePak pouting face ,anger,
1003,Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,anger,
1004,"@fleetstreetfox It's buzzing pathetically for sympathy if you let it out it will twirl it's moustache, chuckle and sting you #Psychowasp",anger,
1005,@cxmbeferre so you WOULDNT date me?????,anger,
1006,Well @AprilDRyan Trump's rabid base needs 2 hear this &amp; U can always find an overseer like King to say it.\n@JoyAnnReid @SMShow @frangeladuo,anger,
1007,"@Kruzer You're not stealing my girl, I've solo'd Crota's End flawlessly. Do not try or face the wrath of the machine Ã°Å¸ËœÂ¤ pouting face  face with steam from nose ",anger,
1008,I wonder what would happen if I were to tell some people the truth #savage #uhoh,anger,
1009,"Ã¢â‚¬â€ Self-hatred gives rise to fury, fury to the desire for self-change.",anger,
1010,Are belittling kitty straight a service? provoke lift aboard!: Wycelv,anger,
1011,Point scorning and fury at Labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #Nauru face with steam from nose ,anger,
1012,@victoriarghhh not mad but tilting? slightly irate? is that cool?,anger,
1013,@Jacqueline_69 haha! She did well today. I can't get beyond her pout annoying me I'm afraid.,anger,
1014,"@NahteWilly @AFP that was neither intelligent, definitive or useful shall I name call or would you like to expand on how I have offend you ?",anger,
1015,@HillaryClinton Yeah U gotta make them HEEL. I know U need their votes so U have to wait. But when U LOSE-they're really in for your wrath !,anger,
1016,@fixindk @RevoltRazor @dragons1015 Guys don't use that type of language. Save it for raging...,anger,
1017,@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone pouting face ,anger,
1018,the teams that face Barca and Bayern after a defeat are the ones who face the wrath pouting face ,anger,
1019,@JustinRow10 madden is the reason why controllers are snapped face with steam from nose ,anger,
1020,Why is it always me picking up the pieces :/,anger,
1021,"I don't mean to offend anyone, but 93.7 literally blames everything on white people. In some cases it's true, but a lot of times, it's not face with steam from nose  pouting face ",anger,
1022,@kencurtin they might get Donal ÃƒÂ³g sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult,anger,
1023,@jbanks88 offense can't score 3 redzone trips no points n lbs can't pull flags n i missed a flag that lead to a td dat took da league pouting face ,anger,
1024,@HuffPostUK NO greater wrath than a woman scorned. pouting face ,anger,
1025,"@LouisFil just curious as to what you mean. No rush, no animosity, no disdain.",anger,
1026,streets of rage 2 was hard to find for a while and then Itunes stepped in and the guys doing the vinyl \nmade it so simple,anger,
1027,You forever straight so fix that frown u goodÃ°Å¸Ëœâ€¡ @amayyaaag__,anger,
1028,Inner conflict happens when we are at odds with ourselves. Honor your values and priorities. #anger #innerconflict #conflict #values pouting face ,anger,
1029,ok so i got my madden 17 refunded but now i gotta wait a few days for the money and now gotta pre-order fifa again.... pouting face ,anger,
1030,Now that @Jasmine_Wrn has snapchat back it's a constant battle to see who can get the ugliest snap of one another Ã°Å¸Ëœâ€šÃ°Å¸â„¢Æ’ #snap survival face with steam from nose ,anger,
1031,Skipping meals is the national way of showing #disappointment and #anger. #wiz,anger,
1032,@zavierdaniels had to snap going crazy Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­,anger,
1033,@SportingTommo @ASFCofficial no doubt we are going to struggle this year. But moments like that from Payet take the sting out of it. pouting face ,anger,
1034,why are people so angry toward veggie burgers at in n out wtf,anger,
1035,"@len_snart gives a frustrated growl, before stepping closer and putting his gun through the barrier. No alarms and nothing happened. He- pouting face ",anger,
1036,#ParentsofAddicts: let #wellness be your #revenge! -Al Anon speaker,anger,
1037,"@interception225 you're looking for an argument that i'm not engaging in. He's not even speaking his own words, i'm not raging at him.",anger,
1038,"I've learned to let go of resentment for people who have hurt me, because keeping it is like swallowing poison and expecting them to die.",anger,
1039,"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism. pouting face ",anger,
1040,The way @AvailableCar wash their hands of their mistakes is disgraceful. Left driving round on a tyre that can burst at any moment pouting face ,anger,
1041,@EAMaddenNFL @EASPORTS I played a game where John Elway was sacked 3x and fumbled all 3x. Is this the same John elway I know of??? #madden angry face ,anger,
1042,As usual disappointing #offense by @HoustonTexans ...#Texans,anger,
1043,@Susan_Wilde @oohincensed @TheCanarySays no! Kinda offended that you had to ask,anger,
1044,@PrincessCasGirl @DaddyEllis__ tiff you better hurry cause Ã°Å¸â€˜â‚¬,anger,
1045,Ppl like that irritate my soul,anger,
1046,Hell hath no fury like a bureaucrat scorned. Ã¢â‚¬â€¢ Milton Friedman pouting face ,anger,
1047,@pxrfectpeach it's got her little pout face with steam from nose ,anger,
1048,All options are on the table - #revenge is coming.,anger,
1049,"@kitanoye Hell is hot and boiling, isi ewu",anger,
1050,matt and i just did a psychological study on provocation in abusive relationships.,anger,
1051,#welfarereform should not be a 'model' for #snap.,anger,
1052,And she got all angry telling me 'but what would be doing a 40 year old guy looking for a girl like you' and I felt,anger,
1053,Checked-in for my flight to Toronto. Took seat 3D just to infuriate @perpetualgeek.,anger,
1054,@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,
1055,"@UltimateBoxer My heart because you left me for so long again\n\n*slight pout but it turned to a smile*\n\nheheh just kidding, no I'm fine-",anger,
1056,@jbiggy13 @ToneCapone111 ya and the d was what I was most confident about..... our offense is as good as it's been in 20 years...our d sucks,anger,
1057,What's with all pre industrial revolution-esque footwear? You guys tryin out for grapes of wrath today?,anger,
1058,Like I can't do 12 hours worth of standing or calorie burning in 3 hours Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­ #1stworldprobs4vs pouting face ,anger,
1059,I just don't understand why everyone is so #angry we all just want to live and thrive don't we? face with steam from nose ,anger,
1060,Before revenge you feel good after revenge you feel worse Ã°Å¸â€Â¯ @HillaryClinton,anger,
1061,@BearGrylls for your next series will u do a celebrity firefighting show and just chuck them all in a burning building and do the voiceover? face with steam from nose ,anger,
1062,Changed my clothes at work and had my pre-workout.. In route to the gym and there is traffic all over - pre workout kicking in.. #rage angry face ,anger,
1063,@brooklynbreeder \nI could not believe that their answer to his outrage was that they were right. I do hope he takes them to the cleaners. angry face ,anger,
1064,@DL_Hart @DonnieDollars @AaronBiggsPro @WWENoWayJose @cwfmidatlantic How did that chop feel? You still feel the sting of it? Looks brutal!,anger,
1065,"Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere face with steam from nose ",anger,
1066,@smendler (2) Watch out for ppl who have been filled w/ impotent rage over time - they can be led to do just about anything face with steam from nose ,anger,
1067,Paul forever. Paul should have won! Paul played such a better game! #BB18 #angry,anger,
1068,@MannyM83 @DareToReagan oh yeah. I HATE the air raid and I don't like the Oregon/Baylor offense and I'm not a fan of the ole miss one either,anger,
1069,"@BIGGKATZ BUT arms (focused rage) is overpowered, it will be getting nerfed. It'll still be stronger than fury though",anger,
1070,@TokyoSexPolice can I get away of this wrath by reading manga instead of watching overdone anime,anger,
1071,"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",anger,
1072,@vladfucker69 i look rabid,anger,
1073,Women don't like girls because we resent them for looking so great/we wish we still looked like that #washed,anger,
1074,No respect for people who force their opinions on to others yet get offended when someone does the same to them Ã°Å¸Ëœâ€š,anger,
1075,Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife pouting face ,anger,
1076,@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks,anger,
1077,@simon_penn_r @AntisocialJW2 has turned into a rather fiery GG radical) face with steam from nose ,anger,
1078,The book im riteing about wots happond has made them moor angry but im not here to plese man or hide the eval deeds of some angry face ,anger,
1079,I need all your attention! If I don't I'll pout.. face with steam from nose ,anger,
1080,I don't even #feel #anger anymore can't explain it .. #Tulsa #Charlotte #Trayvon #SandraBland #Philando #Ferguson #BatonRouge #MichaelBrown,anger,
1081,@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! #revenge,anger,
1082,Nothing more entertaining and frightening than a #bitter #alcoholic trying desperately to get your attention..... face with steam from nose ,anger,
1083,My baskets are better when I'm in a bad mood someone irritate me before practice please face with steam from nose ,anger,
1084,"@healeyraine I'm offended, I actually am",anger,
1085,@Kim_is__bored exactly what I have been saying on fb.. #bitter pouting face ,anger,
1086,@MetPoliceFC is it true none of your players are cops? Do they drink chilled bitter? Are your players Walter Mitty types? @KeviboyAllen pouting face ,anger,
1087,British humour should offend and challenge mainstream views. Hat off to Clarkeson. The ultra left should go and kneel before Allah!! face with steam from nose ,anger,
1088,"@HuffingtonPost huff i know your pro-hillary and so is CNN and MSNBC, but they made no mention of this, this statement would be gold for em pouting face ",anger,
1089,"@VeyGraphics I had to unfollow, he got trolled by trolls. His revenge trolling just caused a lot of collateral damage.",anger,
1090,"Because it was a perfect illusion, but at least now I know what it was. #ladygaga #iscalming#mysoul",anger,
1091,After what just happened. In need to smoke.,anger,
1092,Yo gurls Dm for a tribute Ã°Å¸ËœÅ“Ã°Å¸â€Â¦ #snapme #dm #nudes #tribute #cumtribute #cock #cum #swallow pouting face ,anger,
1093,@politicalTigres @Saifullah_Uchvi welcome ji . sorry for words that irritate u pouting face ,anger,
1094,"@IndigoHawthorne Then u understand that rage is often not pretty, or controlled or rational - it is often visceral-not always logical.",anger,
1095,"@happyandbashful Flirt, simper, pout, repeat. Yuck.",anger,
1096,Seeing double am so tired but I always grudge getting off my phone at night Ã°Å¸â„¢â€ž,anger,
1097,Star trek online has a update to download oh fuming yay,anger,
1098,Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/ #angry #annoyed,anger,
1099,@LaraTheIrish &lt; feel everything. She would remember everything. Evanora hoped this would serve to fuel the creatures anger and run rabid &gt;,anger,
1100,Hell hath no fury like a late twenty something dude who's concur for government session keeps expiring before he can submit a form,anger,
1101,i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger,
1102,@tony_tr3 I'd say your outrage is the really FAUX outrage.,anger,
1103,"So I wished my sis 12 midnight but received no reply from her. My 2nd sis JUST wished her, got a reply. You know who's the fav",anger,
1104,Be chill af if you want to offend someone.,anger,
1105,@trendykittykat Some people would rather hang on to their indignant anger. *weary sigh*,anger,
1106,"significantly, with a #bitter smile, 'let me pouting face  angry face ",anger,
1107,"@LuluLemonLime83 wow , your right they do need help,so what I'm getting from the Laureliver fandom and bitter comic fandom and pouting face ",anger,
1108,@DonnyMurray I'm just no offended by stuff.We're gettin a situ where folk moan about the Polis/SNP but then happy to snitch when offended...,anger,
1109,#Pain is an aspect of #human evolution; the evolution of #consciousness. #attachments #desire #apathy #sentimentality #tears #O face with steam from nose ,anger,
1110,Get to work and there's a fire drill. #fire #burning #outthere #inthedark,anger,
1111,@laureeenwillam can't cope wi her sour face and tiny pout Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡,anger,
1112,@danrafaelespn no Tyson fury beat the man who been at top for years Danny Garcia should be above Bradley pacquaio frampton,anger,
1113,Nothing is more relentless than a dog begging for food face with steam from nose ,anger,
1114,can't believe Achilles killed me!,anger,
1115,@jwolfie_ why you gotta use the dark skin emoji,anger,
1116,the bee sting still suck i feel sick,anger,
1117,you know cyran still hasn't done makeup based on jeongguk's tiddy like i suggested and i'm #offended,anger,
1118,@JaredWyand Maybe if it was transgender the media would cover it face with symbols on mouth ,anger,
1119,@AudreyKare i'm like half expecting some rabid troll to come into my mentions accusing me of being a csa apologist or something lmao,anger,
1120,@MartinClouseau - as CEO of a charity you could reasonably expect @eduardo_LACS not to attempt to crudely inflame tensions. pouting face ,anger,
1121,Thatmoment you're watching #worstcelebritycooks and your bubble is burst by finding out KyleXY is gay and marriedÃ°Å¸ËœÂ­ #nochance #KindaDontMindÃ°Å¸Ëœâ€°,anger,
1122,"@sarah_urbina why do you even beef Sara you let the anger get the best of you, you and Sagin been friends for how long?",anger,
1123,im 16 if you want to see my dick snap/kik me at hiya2247 Ã°Å¸ËœËœ #kik #kikme #snapchat #snapme #horny #porn #naked #young,anger,
1124,"I just poured boiling water on my foot.. now my cup of tea is less enjoyable, but worse my football career is foiled.",anger,
1125,I just love it when people make plans for me without actually including me in this process pouting face ,anger,
1126,@DRUDGE_REPORT @FoxNews good thing the FBI didn't offend them!,anger,
1127,"@lydss_xx @tharealversace @fatbellybella fuckin luv incense, this is me as fuck Ã°Å¸Ëœâ€š",anger,
1128,@TobyIrish1 Yes but you were specifically fuming about him not signing enough people,anger,
1129,"@voguemagazine, did you not learn from @FreePeople 's viral insult to ballet? Stop trying to wrongfully stick models into pointe shoes Ã°Å¸â„¢â€ž pouting face ",anger,
1130,oh these old things on my face? nah they're not tears from school related anger and frustration nope never,anger,
1131,"@CBSBigBrother never bring back Meech and Bridgette. Crying because someone looks at you? Ugh, and Bridgette.",anger,
1132,"The best revenge is to move on, get over it, and continue to succeed. Never give someone the satisfaction of watching you suffer. face with steam from nose ",anger,
1133,@bt_uk broadband is shocking regretting signing up now #shouldofgonewithvirgin,anger,
1134,Damn our offense is a mix bag of unpredictable lethal weapons I'm worried for Defense Coordinators Ã°Å¸ËœÂ #Chargers #Boltup #Recharged angry face ,anger,
1135,I screened my own snap what kind of narcissistic ass would smh,anger,
1136,@AdamRichards_10 I done a mix of win and -1 and scores are 2-0 2-0 3-0 4-0 4-0 and then moyes was 1-0 down was fuming. Would of been easy,anger,
1137,@Cardschatter now that the Bills have a new offense of Cordinator do you think it's more difficult for the @AZCardinals to game plan? face with steam from nose ,anger,
1138,Brendan Rodgers looks fuming Ã°Å¸ËœÂ­ angry face ,anger,
1139,jamming out to fury in math class wanting to die hbu,anger,
1140,@Freepenalties @TMortimerFtbl Doll is a vile creature on the touchline. Every game he has tantrums &amp; shouts at the ref. Would love to see,anger,
1141,Indignation: [whispers to date during that terrific Lerman/Letts centerpiece scene] That's his overwhelming sense of indignation. face with steam from nose \,anger,
1142,@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy? #revenge #leictershireaway #therey angry face ,anger,
1143,pressure does burst pipes Ã°Å¸ËœÂ­ face with steam from nose ,anger,
1144,I don't talk about politics because people nowadays get offended easily!,anger,
1145,"So I wished my sis 12 midnight but received no reply from her. My 2nd sis JUST wished her, got a reply. You know who's the fav #offended",anger,
1146,@happyandbashful @Teigngardener @CEVokins @gardengirllucy Don't provoke the Voke.,anger,
1147,@ZubairSabirPTI pls dont insult the word 'Molna',anger,
1148,@Mysbananen yes hc and we got him very low. I know how it feels. Our damage is low enough as it is never mind having the rng of being enrage,anger,
1149,@realDonaldTrump: No sense in taking out your wrath on innocent people because you think police shot an innocent man. #MakeAmericaSafeAgain,anger,
1150,Get to work and there's a fire drill. #fire #outthere #inthedark,anger,
1151,"@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an angry face ",anger,
1152,@JohnKerry can be as indignant as he wants but the world knows Obama will do nothing and Putin will just do what he wants #Aleppo #Syria angry face ,anger,
1153,"@a_mxe7 hah don't speak to me or my cousin like that, mind a had the displeasure of seeing u bare faced on eh train, no a pretty sight mate face with steam from nose ",anger,
1154,@GriffinBowie23 @AliMcClimond sorry to #offend u griffin!! face with steam from nose  angry face ,anger,
1155,"@m_t_f_72 I'm not surprised, I would be fuming! Ã°Å¸ËœÂ¤ pouting face ",anger,
1156,"I either look like a raging bitch, or I'm obnoxiously laughing at something not that funny. I don't think there's any middle ground.",anger,
1157,@StrongestBeing Ã¢â€ Âwould furrow and her face would redden as she protests; it would seem that being seen as unattractive in Wukong's eyes wasÃ¢â€ â€,anger,
1158,"@Bell @Bell_Support Cancelling home Fibe, Internet and TV this afternoon - as soon as I can arrange alternate Internet. 2/2 #angry #fedup",anger,
1159,Ok but I just got called a 'White Devil' on the train and I didnt know whether to laugh or be offended,anger,
1160,@MarianKeyes the pout tips me over the edge. I am most definitely AGIN. Who the feic bakes with full make up and boots with heels!!!! pouting face ,anger,
1161,@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv.,anger,
1162,@swagalini ive been through the denial and anger i am in pure acceptance pouting face ,anger,
1163,@WestonKoury so leafy can roast the Pokemon go kid but not you what an outrage that just means that he is more relevant than y-I mean kisses face with steam from nose ,anger,
1164,"I think Paul is what's bitter, not the pastry",anger,
1165,People that smoke cigarettes irritate my soul. face with steam from nose ,anger,
1166,@cxmbeferre so you WOULDNT date me????? #offended pouting face ,anger,
1167,"In fact, sometimes i don't get furious at people who wrong me, but i get furious at myself for being a fool. angry face ",anger,
1168,"says, who are you to compared me with the others; I'm just human. #lit #fire",anger,
1169,"@UN_Women @JustinTrudeau @CanadianPM Trudeau endulging on outrage culture once again. Preaching issues ad hominem,but never quanitfying them pouting face ",anger,
1170,Panpiper playing Big River outside The Bridges in SR1 #outrage pouting face ,anger,
1171,@XboxMAD @RobotBrush Ballmer will be furious. Another delivery lost...,anger,
1172,@AgentTinsley I believe that's what you call the fury of the righteous. pouting face ,anger,
1173,"If I spend more than Ã‚Â£10 in shimmy on Ã‚Â£1 drinks I'll be raging, but we all know it's gonna happen",anger,
1174,"Didn't think Cadres not Getting SRC deployment would make some Cadres so bitter, Ku tough Macom. pouting face ",anger,
1175,"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger,
1176,"#EpiPen: when public outrage occurs, expand #PAP Patient Assistance Progrm, coupons,rebates .@GOPoversight @OversightDems on #Mylan #Epipen",anger,
1177,"@SiobhanSynnot Oh, good God. Quentin Letts is doing one of his 'comedy' turns. #angry @bbcthisweek @afneil #BBCTW pouting face  angry face ",anger,
1178,"@Lizombi There's a difference though. A grudge cab be tamed. Feeling uncomfortable is pure emotion, you can't really control it.",anger,
1179,@lyssababe615 \nIf this room was burning Ã°Å¸â€Â¥ pouting face ,anger,
1180,@PatVPeters @FreeBeacon Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags pouting face ,anger,
1181,Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness,anger,
1182,Congrats to #Nicole #bb18 ... Fix that nose now Ã°Å¸Ëœâ€Ã°Å¸â€ÂÃ°Å¸ÂÂ» #bitter #petty,anger,
1183,@ashleighjessica @zacflint1 I'd give that pout the firm D,anger,
1184,Mia has the worst road rage I have ever seen and she gets so mad when I put my hands on her windows lol face with steam from nose ,anger,
1185,@shod_jpg aye man she was fuming xo,anger,
1186,"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now. pouting face ",anger,
1187,I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion pouting face ,anger,
1188,I think I must scare my coworkers when I'm eating like a rabid animal on my breaks #srry,anger,
1189,#india will take #revenge by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge,anger,
1190,@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis,anger,
1191,@PuseLepuru it's the irritation of not having found the corpse,anger,
1192,@DJ_JeanFranko growl!!! pouting face ,anger,
1193,@Red_Magpie @ali_faceache1 @joanna_caron @KCBFD @xMATTxLAWx he's not exactly a rabid tub thumper compared to McTernan now is he. pouting face ,anger,
1194,@cassidyyy_0 literally Nicole already had her chance and she played shitty both seasons. pouting face  angry face ,anger,
1195,Boys Dm me pictures of your cocks! The best one will get uploaded! Ã¢ËœÂºÃ¯Â¸ÂÃ°Å¸â€Â¦Ã°Å¸â€Â¦ #Cumtribute #dm #snap #snapchat #snapme #nudes #dickpic #cocktribute pouting face  pouting face  pouting face ,anger,
1196,@arppaul @chetanlfc @mannkakhiladi @dey_spandan @umeroffcial Comparing Akshay Sir with this zandu balm is an insult to Akshay Sir. pouting face  angry face  face with steam from nose ,anger,
1197,Listening to Joey really helps me and my anger. pouting face ,anger,
1198,Now that I have my ex's number now its time to prank him. #revenge #prank #whatprankIshoulddo seriously what prank I should I do pouting face  face with steam from nose ,anger,
1199,"Don't be offended,\nI'm just doing something that,\nGives your life more hurts.\n\n #haikuchallenge #poetry pouting face  face with steam from nose ",anger,
1200,Will I offend you\nif I am truthful but kind\nor will you see why?\n@baffled #haikuchallenge #offend,anger,
1201,@Hoopdawg87 @MickThePerm Meanwhile white cops keep killing black people. But there's less outrage about that. Strange society that.,anger,
1202,I am using twitter as a coping mechanism for raging out at this kid oops?,anger,
1203,Why a puerto Rican with Taino hair and a black nose gotta ruffle your targeted feathers?,anger,
1204,"@Pharah_Amari [Reyes snarled in frustrated anger, steel claws flexing dangerously. But she uttered those damning words, it seems to snap --",anger,
1205,"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil ** pouting face ",anger,
1206,Drop Snapchat names #bored #snap #swap #pics,anger,
1207,@Dominos_UK worst thing is i have confimation from them,anger,
1208,@kerrybowen_ you have anger issues!,anger,
1209,Imagine the twitter fume if Corbyn loses the election and then Smith leads Labour to a worse result than suggested under Corbyn.. Imagine??,anger,
1210,Ã°Å¸â€Â¥Anger is the acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.Ã°Å¸â€Â¥ #anger \n\n~Mark Twain,anger,
1211,"Michelle, who did NOTHING is hating on Nicole's game hahaha.... #bitter #bb18",anger,
1212,"@FakingALeto Gerard finally made it up the stairs with a little huff, his face a little more red than it was before. Having little legs --",anger,
1213,@Trump_Videos she looks completely #rabid @realDonaldTrump,anger,
1214,@RoyEnglish roy as fiery,anger,
1215,Inner conflict happens when we are at odds with ourselves. Honor your values and priorities. #innerconflict #conflict #values,anger,
1216,@JuliaHB1 Bloody right #fume,anger,
1217,I guess #bradangelina &gt; #anger &gt; #blacklivesmatter face with symbols on mouth ,anger,
1218,"@BosNaud so scared to ruffle feathers, he resorted to writing in cryptic code. #UncleCamsCabin pouting face  angry face ",anger,
1219,@Cass_Pennant @frankbrunoboxer @WestHamUtd @davidgold @MaccaFrank @JonjoHeuerman @WestHamMagazine @CasualMind_ @karren_brady it's an insult.,anger,
1220,@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite,anger,
1221,@Lowetide there is no room for jokes in hockey! This is a serious business where we made up teams to fill out the tournament! angry face ,anger,
1222,That grudge you're holding keeps making an appearance because #God wants you to deal with it. pouting face ,anger,
1223,I think they may be #offended,anger,
1224,Guy across from me in a really ugly suit cannot stop expressing his displeasure,anger,
1225,"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger,
1226,"@memorie_holiday @AngryOrchard about 2 wks ago,playing pokemon and not paying attention. Placed my elbow on a rail 3 inches from 4 no sting. pouting face ",anger,
1227,i can't believe they're all messing up my favourite of all bakes i feel personally offended face with symbols on mouth ,anger,
1228,When your sister is 19 and throws legitimate temper tantrums just to get attention.. face with steam from nose ,anger,
1229,I miss doing nothing someone I care about and attacking their face with kisses. #foreveralone #bitter Ã°Å¸ËœÂ ,anger,
1230,Every day I think my #house Ã°Å¸ÂÂ¡ is #burning Ã°Å¸â€Â¥ but it's always just my neighbor burning their #toast! Ã°Å¸ËœÂ·Ã°Å¸ËœÂ¡Ã°Å¸ÂÅ¾,anger,
1231,@NewAgeInsiders @ChaoticWrestlin @davienne_long make sure you tell them how scared you are #revenge Ã°Å¸â„¢Å’Ã°Å¸ÂÂ¼Ã°Å¸â„¢Å’Ã°Å¸ÂÂ¼,anger,
1232,"@Sirenja_ @JaxOfBo (like, hope i didn't offend with my commentary - it wasn't what I was intending!)",anger,
1233,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",anger,
1234,"LGBTQ media should inform, inspire, entertain &amp;unite our community. It shouldn't give platform 2 those whose goal is 2 offend us 4 attention angry face ",anger,
1235,@cameronNewton #colinkaepernick protests because of the unjust murder of #keithlamontscott in North Carolina #injustice #speakout,anger,
1236,The war is right outside your door #rage #USAToday,anger,
1237,"Do not despise the Lord Ã¢â‚¬â„¢s #discipline, do not #resent his rebuke, because the #Lord disciplines those he loves... #Proverbs 3:11-12 face with steam from nose ",anger,
1238,@_Mrs_Peel @lp_lisa @PaulRGoulden @LisaLuscious Might be the pout of a star baker tho !,anger,
1239,@TrussElise Obama must be fuming.. lol,anger,
1240,This provocation sets off a curiosity. An entity is feeding fuel to the fire. speaking quatrains. Hmmm America needs to be vigilant now,anger,
1241,"@iamsrk what's up w the gender bias? #indignant This fancypants saddler's daughter will opt for the leather jacket, thank you very much",anger,
1242,ramos does what he does best burning haters with his head,anger,
1243,"Yeah I'm hot nigga, they say im burning uhhhh",anger,
1244,I sit at home so damn much that everything is starting to irritate me . I need to get out the house by myself ! angry face ,anger,
1245,Now that the n word is normalized by the media? Just wow. No words for this . No. Words. For . This. Frog been boiling in the pot via media. angry face ,anger,
1246,@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO #bitter,anger,
1247,.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. face with symbols on mouth ,anger,
1248,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant",anger,
1249,i have so much hw tonight im offended angry face ,anger,
1250,@TzumiXIV huff puff,anger,
1251,I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage pouting face ,anger,
